LinkedIn profile ID,Company name,Job title,Industry,ai_SENIORITY,Years in role,Years in company,Number of connections,Number of employees,Year founded,Hiring on LinkedIn,Six months headcount growth,Two years headcount growth,Yearly headcount growth,fe_seniority_ord,fe_type_of_contact_ord,fe_fit_approved,fe_fit_data_approved,fe_company_age,fe_log_employees,fe_company_size_bucket,fe_log_connections,fe_headcount_momentum,fe_has_email,fe_has_bio,fe_microsoft_flag,fe_department_encoded,ext_ms_maturity_score,ext_has_competitor_tech,nlp_report_length,nlp_has_momentum,nlp_urgency_score,nlp_embedding_01,nlp_embedding_02,nlp_embedding_03,nlp_topic,fe_tech_fit_comunica,fe_tech_fit_colabora,fe_tech_fit_infra,fe_tech_fit_ia,fe_tech_fit_data,fe_tech_fit_workplace,fe_tech_fit_maite
ACoAAABvoAMB4WgQj_hJiFhMAmDhvH3T5iweQpI,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.8643,-3.9409592,0.42559806,29,,,,,,,
ACoAABt99lYBTlK6ReR_S2_JpSnyse9-U8TUkx0,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.868361,-3.937312,0.42948735,29,,,,,,,
ACoAAAjFJqQBYNQRcJAuJSlp1jROQept1XaWe3w,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.86783,-3.9379046,0.42865586,29,,,,,,,
ACoAABi5et0BCTAhMFQTxKKII05ygymktMt_5as,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862804,-3.9424598,0.4242225,29,,,,,,,
ACoAAEbpvhUBBOgUgkaAgrt68Vjc8bep5Fb7EPs,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862166,-3.9434464,0.42310905,29,,,,,,,
ACoAABdVnTEBoGqZwsQ_zRaPc1eoQQzgTq4PX3M,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.051449,14.971196,4.619263,30,,,,,,,
ACoAAEgr92kBePpXkmJ5D7aU7roPXUb4Wku0vkg,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.869267,-3.9361336,0.4304502,29,,,,,,,
ACoAACXK1IgB3qfUNCLHGc4NsjsIgZBg9RoKQsg,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862804,-3.9424598,0.4242225,29,,,,,,,
ACoAAAlvr7ABbGzRW5yqI-lgnRyMX6AmDJo3soo,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862804,-3.9424598,0.4242225,30,,,,,,,
ACoAADeQAtEBzVhsKt5EHmjO_KqdhJ3_wEwZWDI,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862347,-3.9430196,0.4235746,30,,,,,,,
ACoAABj68qwBNHxXP9-54UsbqfYsYR-xFHYJ3ew,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.8643,-3.9409592,0.42559806,30,,,,,,,
ACoAAAJtIxkBOWb0i9Y4ID_M1Ae06sMDmIpugeg,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862804,-3.9424598,0.4242225,30,,,,,,,
ACoAAApDmtwBGwKJOSoOe55l2gwVvU5EbxR4NqM,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862102,-3.9435897,0.42295012,29,,,,,,,
ACoAABwA15ABcJuhu9Z4OYcM3km5IhXjdgAxPp4,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-16.657879,4.910394,-0.59201074,30,,,,,,,
ACoAAA8AhMkBbfVN3Pm3e08sc1xp70yr5gnJ8Eg,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-16.563377,4.8144383,-0.508136,30,,,,,,,
ACoAAClbuTUBz0njjUQ0FdZrCeaeJSge7eFFNPE,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.8643,-3.9409592,0.42559806,29,,,,,,,
ACoAAC3rAp4BWVBxQAeKISO73sTvToGo14qGnxc,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.869267,-3.9361336,0.4304502,29,,,,,,,
ACoAACqbHXYBvTcfUVz7e6_AYKdWq_F-889vyRU,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862166,-3.9434464,0.42310905,29,,,,,,,
ACoAAATojIwBWlzqc6wjfjYdg-48Uo0zeTR0RRY,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.051449,14.971196,4.619263,29,,,,,,,
ACoAAANZDKkBJVUCNzMP4fk-mpd4sd8avGQp9FA,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862804,-3.9424598,0.4242225,29,,,,,,,
ACoAACntvqQBGRBxNFNCommrTYE2PzXtYdw7_eY,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.8625555,-3.9426012,0.42408577,30,,,,,,,
ACoAADqWKNUBMEGfRH007Q9cZPNQLQ43R5fxR8o,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.8656025,-3.9396734,0.42694646,30,,,,,,,
